account_name,amount,start_date,end_date,fiscal_year,fiscal_period
revenue from contract with customer excluding assessed tax,7685000000,2025-03-30,2025-06-28,2025,Q2
revenue from contract with customer excluding assessed tax,7438000000,2024-12-29,2025-03-29,2025,Q1
revenue from contract with customer excluding assessed tax,6819000000,2024-06-30,2024-09-28,2024,Q3
revenue from contract with customer excluding assessed tax,5835000000,2024-03-31,2024-06-29,2024,Q2
revenue from contract with customer excluding assessed tax,25785000000,2023-12-31,2024-12-28,2024,FY
revenue from contract with customer excluding assessed tax,5473000000,2023-12-31,2024-03-30,2024,Q1
revenue from contract with customer excluding assessed tax,5800000000,2023-07-02,2023-09-30,2023,Q3
revenue from contract with customer excluding assessed tax,5359000000,2023-04-02,2023-07-01,2023,Q2
revenue from contract with customer excluding assessed tax,5353000000,2023-01-01,2023-04-01,2023,Q1
revenue from contract with customer excluding assessed tax,22680000000,2023-01-01,2023-12-30,2023,FY
revenue from contract with customer excluding assessed tax,5565000000,2022-06-26,2022-09-24,2022,Q3
revenue from contract with customer excluding assessed tax,6550000000,2022-03-27,2022-06-25,2022,Q2
revenue from contract with customer excluding assessed tax,5887000000,2021-12-26,2022-03-26,2022,Q1
revenue from contract with customer excluding assessed tax,23601000000,2021-12-26,2022-12-31,2022,FY
revenue from contract with customer excluding assessed tax,4313000000,2021-06-27,2021-09-25,2021,Q3
revenue from contract with customer excluding assessed tax,3850000000,2021-03-28,2021-06-26,2021,Q2
revenue from contract with customer excluding assessed tax,16434000000,2020-12-27,2021-12-25,2021,FY
revenue from contract with customer excluding assessed tax,3445000000,2020-12-27,2021-03-27,2021,Q1
revenue from contract with customer excluding assessed tax,3244000000,2020-09-27,2020-12-26,2020,Q4
revenue from contract with customer excluding assessed tax,2801000000,2020-06-28,2020-09-26,2020,Q3
revenue from contract with customer excluding assessed tax,1932000000,2020-03-29,2020-06-27,2020,Q2
revenue from contract with customer excluding assessed tax,9763000000,2019-12-29,2020-12-26,2020,FY
revenue from contract with customer excluding assessed tax,1786000000,2019-12-29,2020-03-28,2020,Q1
revenue from contract with customer excluding assessed tax,2127000000,2019-09-29,2019-12-28,2019,Q4
revenue from contract with customer excluding assessed tax,1801000000,2019-06-30,2019-09-28,2019,Q3
revenue from contract with customer excluding assessed tax,1531000000,2019-03-31,2019-06-29,2019,Q2
revenue from contract with customer excluding assessed tax,6731000000,2018-12-30,2019-12-28,2019,FY
revenue from contract with customer excluding assessed tax,1272000000,2018-12-30,2019-03-30,2019,Q1
revenue from contract with customer excluding assessed tax,1419000000,2018-09-30,2018-12-29,2018,Q4
revenue from contract with customer excluding assessed tax,1653000000,2018-07-01,2018-09-29,2018,Q3
revenue from contract with customer excluding assessed tax,1756000000,2018-04-01,2018-06-30,2018,Q2
revenue from contract with customer excluding assessed tax,1647000000,2017-12-31,2018-03-31,2018,Q1
revenue from contract with customer excluding assessed tax,6475000000,2017-12-31,2018-12-29,2018,FY
revenue from contract with customer excluding assessed tax,1340000000,2017-10-01,2017-12-30,2017,Q4
revenue from contract with customer excluding assessed tax,1584000000,2017-07-02,2017-09-30,2017,Q3
revenue from contract with customer excluding assessed tax,1151000000,2017-04-02,2017-07-01,2017,Q2
revenue from contract with customer excluding assessed tax,5253000000,2017-01-01,2017-12-30,2017,FY
revenue from contract with customer excluding assessed tax,1178000000,2017-01-01,2017-04-01,2017,Q1
revenue from contract with customer excluding assessed tax,4319000000,2015-12-27,2016-12-31,2016,FY
